                                                  Track                                             Artist
0                                     I Dreamed A Dream                                        Susan Boyle
1                                The Element Of Freedom                                        Alicia Keys
2                                          My Christmas                                     Andrea Bocelli
3                                              Fearless                                       Taylor Swift
4                                               Play On                                   Carrie Underwood
5                                              The Fame                                          Lady Gaga
6                                            Crazy Love                                      Michael Buble
7                                         My World (EP)                                      Justin Bieber
8                              Sex Therapy: The Session                                       Robin Thicke
9                  Glee: Season One: The Music Volume 2                                         Soundtrack
10            Michael Jackson's This Is It (Soundtrack)                                    Michael Jackson
11                                The Fame Monster (EP)                                          Lady Gaga
12                                               NOW 32                                    Various Artists
13                 Glee: Season One: The Music Volume 1                                         Soundtrack
14                                       Battle Studies                                         John Mayer
15                                      Lady Antebellum                                    Lady Antebellum
16                           The Time Of Our Lives (EP)                                        Miley Cyrus
17                                           The E.N.D.                                The Black Eyed Peas
18                          The Twilight Saga: New Moon                                         Soundtrack
19                                             The Fall                                        Norah Jones
20                                              Rated R                                            Rihanna
21                                                 Noel                                        Josh Groban
22                                           Ocean Eyes                                           Owl City
23             The Taylor Swift Holiday Collection (EP)                                       Taylor Swift
24                          Until The Whole World Hears                                     Casting Crowns
25                            If On A Winter's Night...                                              Sting
26                                       Southern Voice                                         Tim McGraw
27                                       Peace On Earth                                     Casting Crowns
28                               For Your Entertainment                                       Adam Lambert
29              Alvin And The Chipmunks: The Squeakquel                                         Soundtrack
30                                             Graffiti                                        Chris Brown
31                                          Number Ones                                    Michael Jackson
32                                       The Foundation                                     Zac Brown Band
33                                         Night Castle                           Trans-Siberian Orchestra
34                                            Wide Open                                       Jason Aldean
35                                         Buffet Hotel                                      Jimmy Buffett
36                                        Learn To Live                                      Darius Rucker
37                                     Christmas Cheers                                 Straight No Chaser
38                                         Taylor Swift                                       Taylor Swift
39               Christmas: 25th Anniversary Collection                               Mannheim Steamroller
40                           The State Vs. Radric Davis                                         Gucci Mane
41                                        WOW Hits 2010                                    Various Artists
42                           Good Evening New York City                                     Paul McCartney
43                                           The Circle                                           Bon Jovi
44                            Hannah Montana: The Movie                                         Soundtrack
45                                      The Blueprint 3                                              JAY-Z
46                                        Kiss And Tell                           Selena Gomez & The Scene
47                                             Soulbook                                        Rod Stewart
48                                       Gold And Green                                          Sugarland
49                                    Only By The Night                                      Kings Of Leon
50                                           Revolution                                    Miranda Lambert
51                               The Lost Christmas Eve                           Trans-Siberian Orchestra
52                                    Let It Snow! (EP)                                      Michael Buble
53                                  Malice N Wonderland                                         Snoop Dogg
54                             Christmas From The Heart                                    David Archuleta
55                                           Kris Allen                                         Kris Allen
56                                             She Wolf                                            Shakira
57                                           Dark Horse                                         Nickelback
58                                      Leave This Town                                           Daughtry
59                                  I Am...Sasha Fierce                                            Beyonce
60                                             Untitled                                           R. Kelly
61                               Christmas In The Heart                                          Bob Dylan
62                                        I Look To You                                    Whitney Houston
